The woman gave birth to a child. The child brought psycho-physical phenomena on a new life.,Birth is the arising of the psycho-physical phenomena.,Psychopathology is the study of the effects of the physical on the mental.
Otters enter their new habitat. Otters start looking for abalone for food.,Abalone are one of the first food items taken by otters as they move into new habitat.,Abalone are the most abundant of all sea urchins.
Lila loves classification of her things. Lila can find what she wants quickly.,Classifications yield accuracy.,Classification is the process of searching for things to classify.
She has been vaccined. The chance she gets flu becomes smaller.,Vaccines protect individuals.,Vaccines reduce the chances of getting the virus from one person to another.
The worker fremented some sugar cane with yeast. He got some rum.,Rum is made from sugar cane using yeast fermentation.,Rim is a type of sugar cane used to make rum.
Grande opened the drawers. He saw his old clothing.,Drawers have clothing.,Drawers have clothes.
He wants to travel the Sahara desert. He will not withstand the dry climate there.,Deserts are arid environments.,Deserts are among the driest in the world.
Black pulled out his eyelashes for beauty. Black's sweat always drips into his eyes.,Eyelashes keep sweat out of the eye.,Lips have a thin layer of silvery-white fluid on the top of the lip.
There are many obstacles on the track. Racing drivers will encounter common dangers from time to time.,Obstacles present common danger.,Riders face many obstacles.
The bar wants to devise some tests. The bar asks a businessman for help.,Businessmen devise tests.,Businesses use tests.
Lily has taken some sulfonamedes to make hemolysis. The medicine didn't work.,Sulfonamides cause hemolysis less commonly.,Sulfonamides are one of the most common toxic chemicals in the human body.
No energy is available for the dying plant anymore. It cannot produce oxygen.,Production requires energy.,Oxygen is produced by the burning of fossil fuels.
Tom has good eyesight. Tom found the poisonous snake in time.,Eyesights play roles.,Poisoning is a common cause of death in people with impaired vision.
Tom wants to know more about production. Tom set out to go to the dense regions.,Production occurs in dense regions.,Densities are dense regions in the atmosphere.
The zoologist made an observation of the jaguar's habits. He observed tracks on the ground where the jaguar had moved its all tour legs.,Jaguars use all tour legs to move across the ground.,Jaguars use their all-tour legs to move their entire body in a straight line.
Lucy has established a community to help those homeless children. Many of her friends join in the warm-hearted family.,Friends join communities.,Families provide services.
The abuse of nuclear power is terrifying. Scientists avoid great impact of atoms.,Collisions result in nuclear reaction.,Athletes use nuclear power.
"Mr. Howard was going to hiking who had a big bag on his back. As he walked, he felt much heavier than before.",Matter produces gravity.,Hikers have a tendency to over-exercise.
He observed the process from germination of seeds to eventually maturation of plants. He obserevd the growth of the embryo inside the seed at first.,Germination is the growth of the embryo inside the seed eventually growing into a mature plant.,Germination is a process in which the germination takes place at the start of the maturation process.
"The financial crisis left many people homeless. After the financial crisis, the suicide rate increased significantly.",Homelessness greatly increases the likelihood of a suicide attempt.,Suicide is a leading cause of death among young adults in the United States.
The two competitors became friends of reciprocity. They often exchange their own privileges.,Reciprocity is a mutual exchange of privileges.,Reciprocity is the reciprocal exchange of rights between two individuals on the basis of mutual benefit.
Mary read some papers. She knew lots of details.,Paper gives details.,Details are presented in documents.
Sam wished to eat stew for supper. Sam's wife went to buy some meat.,Stew makes with meat.,Stew is made from meat.
It's half way through autumn. It rains more in half autumn than in spring and summer combined.,Autumn is the season when rain is likely to fall.,Fall is one of the driest months of the year on earth.
The major planets interact. There is gravity among the planets.,Gravitation involves interaction.,Gravity is a fundamental property of the universe.
Tom has a civet. The civet eats the fish quickly.,Civets have sharp teeth.,Civets are able to eat a wide variety of food including fish such as fish butternut squash.
Alice likes the smell of milk. She always eats cakes with a lot of cream.,Cream has taste.,Cakes have a cream-like texture.
Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy. He looked it up and found out that it was because they were so bright.,Quasars drown out the light from all the other stars in the same galaxy because they are so bright.,Quasars are one of the most luminous stars in our solar system.
Simon's mother often let Simon eat soys. Simon grows healthy.,Soy offers health benefits.,"Soy is rich in vitamins A, B6, B12, riboflavin, folate,."
A factory produces several tons of tissues from straws. The quality of these tissues is different.,Straw is a nonhomogeneous material.,Straws are made of a variety of materials.
Jack added nitrites into the water. The catfish died earlier than the scalefish in the water.,Nitrites are more toxic to catfish than scalefish.,Nitrites are a common cause of death in scalefishes.
His action led to the movement of the wheels. The machine was set in motion.,Movement results in motion.,Wheels are used to move a wheel.
Jack's interest is to study human species. He decides to choose anthropology as his major in college.,Anthropology is the discipline devoted to the study of the human species.,Archaeology is the study of the human species from the point of view of the anthropological mind.
Father of our religion combined a union of opposite tenets. His action of syncretism was praised.,Syncretism is the attempted union of opposite tenets is the current fashion in religion.,Synaptism is the union of the opposite tenets of one faith.
Various features show that this is a dicot in the family Piperaceae. Researchers suspected it is a peperomia.,Peperomia is a dicot in the family Piperaceae.,Piperomia is a member of the dicottin family.
Tom has measured the magnetism of the material. It is 15 gammas.,Magnetometers measure magnetism in units called gammas.,Magnetism is a measure of the magnetic field of a material.
Tom studied the types of polypropylene. He found that they came in two types.,Polypropylene comes in two types.,Polypropylene is a type of polyethylene.
The source of the mud was investigated. It was reported that the soil source was very rich.,Mud comes from rich environments.,Mud is a by-product of the process of deposition of silica into the soil.
The student feel anxious to take the exam. Her teacher gave her a warm smile.,Laughter increases relaxation when under stress.,Examinations have positive effects.
This charity donates money to Asian areas with famine. Some people western india were helped.,Famine occurs in western india.,Indians are a group of people who have been the victims of famine in their own country.
The state began to crack down on competitive economic activities in an all-round way. The state has launched a policy of collusion.,Collusion is the antithesis of competitive economic activity.,Collusion is the intentional use of unfair advantage to disadvantage a particular group of individuals over another.
Tom improved his learning efficiency today. He finished all his homework ahead of schedule.,Efficiency is the process of maximizing the productivity of inputs.,Lessons focus on improvement.
Tom wants to eat watermelon. Tom cut the rind of the watermelon.,Melons have rinds.,Rind is the fleshy outer part of the fruit.
Tom give the circuit voltage. Tom has observed charge movement.,Voltage is the potential to move.,Charge is a measure of the amount of current flowing through a circuit.
This child caught roseola. The child had a fever which followed by a rash.,Roseola is a very common viral illness characterized by fever followed by a rash.,Roseola can be life-threatening if it is present in the first few days of life.
A species gradually adapted to its environment. This phenomenon is called speciation.,Speciation is often the result of environmental adaptation.,Speciation is the gradual adaptation of a species to an environment.
Tom was studying how body temperature rises. He found out that cytokines worked in it.,Cytokines cause the body s temperature to elevate by resetting the brain s thermostat.,Tumour is one of the most common cytokines produced by the immune system.
Now it's time to remove the drugs from the patient's body. Various elimination processes was adopted to achieve that.,Drugs are removed from the body by various elimination processes.,Dihydrocodone is one of the most widely used drugs in the elimination of certain drugs.
He successfully solved the problem. He has a clear understanding of this problem.,Problem solving is central to cognition.,Cognition is the ability to recognize objects in the environment.
The villagers were happy about the harvest. They had enough food this year.,Harvest can mean harvesting of the food.,Prairie dogs feed on grasshoppers.
The lecturer is talking about t lymphocytes. I can hear t-cells sometimes.,T lymphocytes are also called t-cells.,T-cells are present in a number of different cell types in the human body.
The scientist put some pyridine in the water. He found the pyridine disappeared.,Pyridine is very soluble in water.,Pyridine is a non-essential amino acid found in the body only in the presence of other substances.
Amy served as an assistant in this company. Amy is good at services work.,Assistants specialize in services.,Assistants provide services.
Virus attacked the mosquitoes. Human might get infected owing to sick mosquitoes.,Mosquitoes get sick just like human beings do.,Viruses can spread from person to person through the air as they pass through the blood-brain barrier.
Henry always runs into hindrances in doing business. It is difficult for him to get mind equilibrium now.,Hindrances influence equilibrium.,Neuroticism is the ability to control the body's internal state of mind without the use of a central.
The school will hold a ceremony the day after tomorrow. The school will hold a simulation in advance tomorrow.,Simulation includes examples.,Simulation is the process of making predictions based on real-world situations.
Tom has taken use of two pieces of magnets to make his experiment. He has proved something about the attraction.,Ferromagnetism describes strong attraction to magnetic fields.,Magnetism is the ability of objects to move in a straight line.
The small chicken shoud be incubated under the same temperature. Tom takes use of a thermostat.,Thermostats detect temperature.,Thermometers are small electronic devices used to measure the temperature of food at room temperature.
She is allergic to yeast. She cannot have contact with dough.,Dough contains yeast.,Dough is made by the fermentation of yeast into flour.
The workers have no idea about how to operate the computer. The leader taught them in person.,Leaders display technical knowledge.,Leaders teach people skills.
The patient with fibroadenomas read his report of mammography. He was in relief for its benign appearance.,Fibroadenomas have a benign appearance on mammography.,Mammograms are the most commonly used diagnostic tests to confirm the presence of cancer in the human body.
The children will be shipped off to a boarding school. Their parents taught their children how to solve living problems independently before going to school.,Independence is an emotion to be encouraged during the early preschool years.,Pupils learn to solve problems by focusing on one's own life as a whole rather than focusing on the.
He went to school. He learned a lot.,Schools are places of learning.,He has a good sense of smell.
The workers are in charge of cleaning debris. They have to consider the waste.,Debris includes waste.,Furniture is used as a source of household waste.
He asked the cardiologist to watch the condition of the heart. The doctor said that his heart rhythm is uneven.,Cardiologists can watch the heart pumping.,Cardiac arrhythmias are a common cause of arrhythmia.
Enzymes are necessary for children's growth. Children are encouraged to eat sprouts.,Sprouts are in fact one of the richest sources of enzymes.,Sprouts are a natural food source of many beneficial bacteria in the human body.
The house of the people holds justice. Parliament is a place of justice.,Parliament is the house of the people.,Parliaments are assemblies of people who have the power to make decisions on matters of public concern.
The man devoted himself to journalism. He mastered the popular language used in pursuit of truth.,Journalism is the popular language used in pursuit of truth.,Journalism is the art of translating news into spoken language.
Tom found a small dome-shaped beetle. He said he got a ladybug.,Ladybugs are small dome-shaped beetles.,Ladybugs are small beetles with a small diameter of about one-third the size of a mane.
The primates didn't want to be exhibit animals. They escaped from the zoo.,Zoos collect primates as exhibit animals.,Pythons are a group of small mammals found in the wild in the central part of the country.
"The root of the plant rotted. In order to save the plant, Tom gave it a rhizoid.",Rhizoids function as roots.,Rhinoceroses are one of the most common species of rhizoids.
Tom was a shepherd. He took care of a flock of sheep.,Shepherds keep sheep.,Pheasants are herd animals who live in herds together with their herd companions.
Tom feels that his asthma is about to attack. He eats some singulars.,Singular is a drug used to prevent the acute attacks of asthma.,Pulses are the most common symptom of asthma.
The teacher gives an example to illustrate the grammar point. But the students can't understand the example.,Examples have limitations.,Grammar is the process of describing a grammar point in a grammar course.
Nobody has seen edaphosauruses before. The scientist observed its appearance.,Edaphosauruses have appearances.,Edaphosaurs are very similar to other eutherian dinosaurs.
All relatives entered the family room. They sat on the chairs one by one.,Chairs sit in family rooms.,Cousins sit on the opposite sides of the room from the family.
"There are many people, among which part of them are with normal sight and part of them are blind. Normal people can see everything and blind people are in a dark world without any light.",Blindness is viewed in almost the opposite light.,Blindness is the inability to see the full range of motion of the human eye.
The wine must be kept from becoming flabby. Acidity should be used.,Acidity is used to keep the wine from becoming flabby.,Acidity is the rate at which the wine becomes flabbergasted.
Tom ran into an anemone. He was poisoned.,Anemones release toxins.,Anemones are toxic to animals.
The company keeps the steel in a wet warehouse. The company loses one million due to rust after a few months.,Moisture is the main cause of rust.,Roughness is a measure of the amount of time it takes to break down a material.
Mary ate lots of chocolate. She also intook theobromine.,Chocolate contains an ingredient called theobromine.,Intake of an oral anticoagulant is dependent on the amount of sugar in the food.
Tracheilds are not suitable to be used as fire materials. Farmers do not use softwoods as firewoods.,Softwoods contain only tracheids.,Softwoods are very sensitive to fire so it is common to have a hard time getting the right amount of moisture.
The field was very quiet at night. The silence was broken by several bird calls.,Blackbirds break up the quiet by cawing while soaring overhead.,Pheasants are known to make frequent bird calls during the day but it is difficult to distinguish between the.
The possum has eaten an ill bird. It died.,Possums acquire the disease by eating infected birds.,Possums eat a variety of birds including the ostrich.
He served as an accountant in this company. He worked hard to manage the balance.,Accountants desire balance.,Accounting is the process of managing the balance of a company's financial statements.
Lyle has ophthalmologist. Lyle's doctor treated him with a laser.,Ophthalmologists commonly treat proliferative retinopathy with laser therapy.,Lasers are the most common type of laser used in the field of ophthalmology.
This experiment requires a gray-white solid with a shiny surface. The teacher provided tellurium.,Tellurium is a grayish-white solid with a shiny surface.,Tellurium is a silvery-white material with a polished surface.
Their new baby born yesterday. This new life starts to cry.,Lives start with breathes.,Crying is the start of a new life in the womb.
The vocal folds vibrated. Compression sound waves were produced.,Vibration creates compression waves.,Vibrations produce compression sound.
Jack's hemoglobin levels are low. He has been dizzy lately.,Hemoglobins have mass.,Dizziness can be a symptom of low blood red blood cells.
Jerry was baptized. He was identified by the believers.,Baptism is an identification with the community of believers.,Baptism is the identification of one's faith with the living god of the church.
"Emma, who is a regular coffee drinker, is very hyper these days. The doctor diagnosed him as caffeinism.",Caffeinism is a stimulated condition of chronic poisoning due to over-indulgence of caffeine.,Caffeinism is a common side effect of many types of coffee.
Tom eats some health products containing enzymes every day. He defecates on time every day.,Metabolism takes place by enzymatic catalysis.,Enzymes are the body's way to break down waste products from the food it is digesting.
The angry patient was injected depressants. He felt calm and relaxed.,Depressants produce relaxed calm feelings.,Depressants help calm the mind by reducing the stress on the body.
The victims were taken to the police office to identify the crimnimal. They tried to recall the face of the criminal.,Criminals have faces.,Crimnials are a type of identification used by the police to identify a crime victim.
Lucy has bought a llot of fresh fruit. She has made a glass of smoothy.,Smoothies are made of fresh fruit.,Lettuce is one of the best-tasting vegetables on the market.
He just took the pills. He wants to sleep very much now.,Pills cause a desire to sleep.,Pills cause a desire to sleep.
My mother stewed a mahimachi for me at noon. I've been picking fish bones for a long time.,A mahimahi is a bony fish.,Mahimas are the most delicate of all fish bones.
They are botanists. They collect specimens everyday.,Botanists collect specimens.,Botanists collect specimens from plants to make their own medicine.
The old man wants to catch some sunfish. He caught a bluegill.,Bluegills are a member of the sunfish family.,Bluegills are one of the most common fish in the ocean.
This mobile phone is not durable. The battery often fails to charge.,Phones have cell batteries.,Discharge occurs when the phone is turned off.
Tom was finding the fly in his house at night. He failed.,Flies are also interesting because they are only active during the day.,Flys are very difficult to detect because they are very sensitive to light.
The baby ground squirrels were hidden by their mom. They were not found by the rattlesnakes.,Rattlesnakes love baby ground squirrels.,Rattlesnake is one of the most venomous snakes on the planet.
Tom committed incest and rape. He was sentenced to death.,Incest is a serious offence under the criminal code.,Murder is the act of killing a human being without due process of law.
